Violet 1,Blue 1,green 1,yellow 1,orange 1,red 1
258.67,185.63,168.4,197.66,130.41,86.07
133.76,97.49,88.46,103.17,68.26,45.3
153.66,106.84,108.71,123.42,85.58,51.64
87.33,64.1,52.22,61.71,40.75,28.08
194.56,142.89,118.3,144.63,93.73,67.95
148.13,104.16,94.86,108.95,74.37,49.83
352.64,243.05,200.37,254.55,158.93,115.96
186.82,134.88,115.11,135.95,90.67,65.23
177.98,117.52,126.83,138.84,98.82,57.98
118.28,86.8,76.74,89.67,60.11,41.67
274.15,206.99,171.59,215.02,133.46,99.66
208.93,149.57,141.75,163.91,111.05,73.38
84.01,61.43,55.42,63.64,43.81,29.9
61.91,42.73,41.57,46.28,33.62,19.93
170.24,117.52,156.67,178.38,124.29,77.91
265.31,198.98,169.46,207.3,133.46,97.84
165.82,118.85,107.65,127.27,84.56,56.17
135.97,100.16,87.4,105.1,69.28,49.83
266.41,190.97,173.73,205.37,136.52,89.69
252.04,189.63,163.07,198.62,125.31,88.78
75.17,56.09,53.29,59.78,40.75,27.18
210.04,134.88,143.88,158.13,113.09,61.61
114.97,86.8,75.67,90.63,59.09,42.58
144.81,93.48,107.65,113.78,81.5,43.49
86.22,65.44,60.75,72.31,48.9,34.43
110.54,74.78,72.47,80.99,59.09,36.24
195.66,136.21,140.69,154.27,105.96,61.61
69.64,49.41,47.96,53.03,37.7,23.55
161.4,110.84,110.84,124.38,87.62,52.55
312.84,232.37,192.91,241.05,151.8,113.25
550.51,352.56,368.77,446.42,312.77,178.47
360.38,256.4,206.76,254.55,159.95,109.62
133.76,85.47,94.86,101.24,74.37,39.86
229.93,162.92,149.21,173.56,116.14,75.19
133.76,92.15,92.72,103.17,73.35,43.49
286.31,192.3,177.99,210.19,144.67,91.5
76.28,53.42,51.16,57.85,39.73,26.27
186.82,136.21,120.44,142.7,94.75,64.32
128.23,93.48,82.07,97.38,65.2,45.3
81.8,57.42,52.22,59.78,42.79,27.18
112.76,78.79,74.61,84.85,60.11,38.96
106.12,77.46,71.41,82.92,56.03,38.96
242.09,172.27,142.82,167.77,113.09,75.19
248.73,188.3,156.67,192.84,121.24,89.69
129.34,90.81,100.19,115.7,80.49,50.73
132.65,92.15,86.33,100.28,68.26,42.58
150.34,110.84,99.12,114.74,77.43,51.64
226.62,164.26,143.88,175.48,113.09,77.01
65.22,48.08,43.7,51.1,34.64,23.55
65.22,46.74,43.7,49.17,34.64,24.46
250.94,174.94,172.66,196.7,131.43,79.72
155.87,106.84,105.51,119.56,83.54,50.73
177.98,126.87,123.63,143.67,97.8,66.14
149.24,108.17,94.86,112.81,74.37,50.73
105.02,73.45,69.28,79.06,56.03,34.43
54.17,38.73,37.3,41.46,29.55,19.93
43.11,32.05,29.84,33.75,22.41,15.4
91.75,68.11,56.49,67.49,45.85,34.43
135.97,100.16,87.4,105.1,69.28,49.83
72.96,49.41,47.96,53.99,38.71,24.46
61.91,44.07,42.63,47.25,33.62,21.74
68.54,52.08,46.9,53.99,35.66,25.37
80.7,57.42,49.03,56.89,38.71,27.18
100.6,74.78,63.95,75.21,50.94,37.14
101.7,70.78,65.01,74.24,52.98,33.52
171.34,128.2,110.84,133.06,85.58,61.61
68.54,49.41,45.83,52.07,35.66,25.37
95.07,69.44,62.88,71.35,47.88,32.61
106.12,73.45,68.21,77.14,55.02,36.24
131.55,92.15,85.26,98.35,67.24,43.49
128.23,92.15,84.2,97.38,67.24,45.3
140.39,100.16,91.66,106.06,73.35,50.73
159.18,114.85,100.19,118.6,79.47,57.98
69.64,49.41,45.83,52.07,35.66,24.46
119.39,88.14,75.67,88.71,59.09,42.58
78.49,57.42,55.42,62.67,41.77,28.08
85.12,61.43,56.49,64.6,44.83,30.8
161.4,109.51,110.84,124.38,88.64,54.36
91.75,64.1,61.82,69.42,49.92,32.61
84.01,61.43,55.42,63.64,43.81,31.71
221.09,161.59,131.09,161.02,104.94,76.1
86.22,61.43,57.55,65.57,45.85,29.9
86.22,62.77,56.49,64.6,43.81,30.8
168.03,116.18,107.65,124.38,87.62,57.08
51.96,37.39,35.17,38.57,27.51,18.12
132.65,88.14,89.53,100.28,72.33,43.49
132.65,100.16,88.46,105.1,69.28,49.83
218.88,157.58,141.75,166.81,111.05,77.01
142.6,97.49,94.86,107.03,75.39,48.02
118.28,86.8,76.74,89.67,60.11,41.67
68.54,52.08,46.9,53.99,35.66,25.37
102.81,69.44,67.15,75.21,55.02,32.61
154.76,112.18,100.19,117.63,78.45,54.36
69.64,49.41,46.9,53.03,36.68,24.46
313.95,244.39,188.65,245.87,146.71,116.87
137.08,94.82,91.66,103.17,73.35,44.39
187.93,130.87,130.03,142.7,99.84,59.79
147.02,100.16,99.12,107.99,77.43,45.3
145.92,101.49,96.99,109.92,76.41,48.02
139.29,100.16,94.86,107.99,74.37,49.83
106.12,77.46,71.41,82.92,56.03,38.96
123.81,94.82,81,98.35,63.17,47.11
86.22,65.44,60.75,72.31,48.9,34.43
138.18,96.15,91.66,105.1,72.33,47.11
326.11,211,199.3,232.37,159.95,99.66
170.24,114.85,112.97,127.27,89.65,53.45
37.59,28.04,26.64,29.89,19.36,13.59
86.22,62.77,56.49,64.6,43.81,30.8
98.38,72.11,65.01,76.17,51.96,37.14
149.24,108.17,94.86,112.81,74.37,50.73
77.38,58.76,51.16,59.78,39.73,29.9
114.97,80.13,75.67,86.78,60.11,38.05
90.65,62.77,60.75,68.46,48.9,29.9
193.45,136.21,135.36,151.38,103.92,62.51
64.12,45.4,43.7,49.17,34.64,23.55
153.66,109.51,103.38,121.49,81.5,58.89
166.92,118.85,102.32,124.38,81.5,61.61
145.92,122.86,93.79,119.56,71.32,59.79
142.6,98.82,93.79,106.06,74.37,45.3
161.4,112.18,109.78,123.42,86.6,52.55
80.7,60.09,53.29,63.64,41.77,30.8
211.14,138.89,149.21,162.95,114.11,63.42
109.44,74.78,73.54,81.96,58.07,35.33
187.93,126.87,126.83,140.77,99.84,61.61
82.91,61.43,55.42,64.6,42.79,30.8
210.04,156.25,131.09,158.13,103.92,76.1
54.17,38.73,36.24,40.5,28.53,19.93
99.49,69.44,66.08,75.21,52.98,35.33
144.81,93.48,107.65,113.78,81.5,43.49
93.96,66.77,61.82,71.35,48.9,33.52
250.94,173.61,176.92,200.55,139.58,86.97
226.62,149.57,148.15,165.84,116.14,71.57
187.93,126.87,126.83,140.77,99.84,61.61
85.12,61.43,58.62,66.53,45.85,30.8
190.14,144.23,118.3,145.59,92.71,67.04
119.39,78.79,78.87,87.74,64.18,37.14
275.26,182.96,191.84,215.02,148.74,85.16
110.54,73.45,74.61,82.92,60.11,35.33
84.01,56.09,57.55,63.64,46.86,28.99
150.34,110.84,99.12,114.74,77.43,51.64
223.3,153.58,155.61,175.48,121.24,73.38
210.04,160.25,131.09,156.2,100.86,68.85
113.86,78.79,75.67,86.78,62.15,39.86
161.4,112.18,109.78,123.42,86.6,52.55
112.76,78.79,81,91.6,65.2,43.49
86.22,58.76,57.55,64.6,46.86,28.99
138.18,100.16,89.53,105.1,72.33,50.73
74.06,54.75,50.09,57.85,39.73,27.18
102.81,72.11,66.08,76.17,51.96,35.33
118.28,84.13,79.93,92.56,64.18,41.67
425.6,251.06,221.69,259.37,179.31,106.9
198.98,138.89,139.62,157.16,106.97,64.32
112.76,77.46,72.47,81.96,58.07,37.14
79.59,58.76,51.16,59.78,40.75,27.18
138.18,96.15,90.59,102.2,74.37,48.02
175.77,126.87,110.84,130.17,86.6,58.89
477.55,279.11,306.95,358.68,266.93,147.67
114.97,88.14,76.74,91.6,58.07,41.67
311.74,219.01,203.57,239.12,157.91,101.47
227.72,158.92,152.41,176.45,120.22,74.29
517.35,333.86,290.96,362.54,250.62,158.54
